2023-11-22 05:17:25,947 - INFO - Created a socket
2023-11-22 05:17:25,949 - INFO - Created a socket
2023-11-22 05:17:26,034 - INFO - ego_x:118.8171312,ego_y:31.892563499999994
2023-11-22 05:17:26,038 - INFO - ego_x:118.8171312,ego_y:31.892563499999994
2023-11-22 05:17:26,040 - INFO - ego_x:118.8171312,ego_y:31.892563499999994
2023-11-22 05:17:26,043 - INFO - ego_x:118.8171312,ego_y:31.892563499999994
2023-11-22 05:17:26,044 - INFO - ego_x:118.8171312,ego_y:31.892563499999994
2023-11-22 05:17:26,046 - INFO - ego_x:118.8171312,ego_y:31.892563499999994
2023-11-22 05:17:26,047 - INFO - ego_x:118.8171312,ego_y:31.892563499999994
2023-11-22 05:17:26,047 - INFO - ego_x:118.8171312,ego_y:31.892563499999994
2023-11-22 05:17:26,048 - INFO - ego_x:118.8171312,ego_y:31.892563499999994
2023-11-22 05:17:26,048 - INFO - ego_x:118.8171312,ego_y:31.892563499999994
2023-11-22 05:17:26,049 - INFO - ego_x:118.8171312,ego_y:31.892563499999994
2023-11-22 05:17:26,059 - INFO - ego_x:118.8171312,ego_y:31.892563499999994
2023-11-22 05:17:26,069 - INFO - ego_x:118.8171312,ego_y:31.892563499999994
2023-11-22 05:17:26,079 - INFO - ego_x:118.8171312,ego_y:31.892563499999994
2023-11-22 05:17:26,089 - INFO - ego_x:118.8171312,ego_y:31.892563499999994
2023-11-22 05:17:26,099 - INFO - ego_x:118.8171312,ego_y:31.892563499999994
2023-11-22 05:17:26,109 - INFO - ego_x:118.8171312,ego_y:31.892563499999994
2023-11-22 05:17:26,119 - INFO - ego_x:118.8171312,ego_y:31.892563499999994
2023-11-22 05:17:26,129 - INFO - ego_x:118.8171312,ego_y:31.892563499999994
2023-11-22 05:17:26,139 - INFO - ego_x:118.8171312,ego_y:31.892563499999994
2023-11-22 05:17:26,149 - INFO - ego_x:118.8171312,ego_y:31.892563499999994
2023-11-22 05:17:26,159 - INFO - ego_x:118.8171312,ego_y:31.892563499999994
2023-11-22 05:17:26,189 - INFO - ego_x:118.8171312,ego_y:31.892563499999994
2023-11-22 05:17:26,190 - INFO - ego_x:118.8171312,ego_y:31.892563499999994
2023-11-22 05:17:26,191 - INFO - ego_x:118.8171312,ego_y:31.892563499999994
2023-11-22 05:17:26,199 - INFO - ego_x:118.8171312,ego_y:31.892563499999994
2023-11-22 05:17:26,209 - INFO - ego_x:118.8171312,ego_y:31.892563499999994
2023-11-22 05:17:26,219 - INFO - ego_x:118.8171312,ego_y:31.892563499999994
2023-11-22 05:17:26,229 - INFO - ego_x:118.8171312,ego_y:31.892563499999994
2023-11-22 05:17:26,239 - INFO - ego_x:118.8171312,ego_y:31.892563499999994
2023-11-22 05:17:26,249 - INFO - ego_x:118.8171312,ego_y:31.892563499999994
2023-11-22 05:17:26,259 - INFO - ego_x:118.8171312,ego_y:31.892563499999994
2023-11-22 05:17:26,269 - INFO - ego_x:118.8171312,ego_y:31.892563499999994
2023-11-22 05:17:26,279 - INFO - ego_x:118.8171312,ego_y:31.892563499999994
2023-11-22 05:17:26,289 - INFO - ego_x:118.8171312,ego_y:31.892563499999994
2023-11-22 05:17:26,299 - INFO - ego_x:118.8171312,ego_y:31.892563499999994
2023-11-22 05:17:26,309 - INFO - ego_x:118.8171312,ego_y:31.892563499999994
2023-11-22 05:17:26,319 - INFO - ego_x:118.8171312,ego_y:31.892563499999994
2023-11-22 05:17:26,329 - INFO - ego_x:118.8171312,ego_y:31.892563499999994
2023-11-22 05:17:26,339 - INFO - ego_x:118.8171312,ego_y:31.892563499999994
2023-11-22 05:17:26,349 - INFO - ego_x:118.8171312,ego_y:31.892563499999994
2023-11-22 05:17:26,359 - INFO - ego_x:118.8171312,ego_y:31.892563499999994
2023-11-22 05:17:26,369 - INFO - ego_x:118.8171312,ego_y:31.892563499999994
2023-11-22 05:17:26,379 - INFO - ego_x:118.8171312,ego_y:31.892563499999994
2023-11-22 05:17:26,389 - INFO - ego_x:118.8171312,ego_y:31.892563499999994
2023-11-22 05:17:26,399 - INFO - ego_x:118.8171312,ego_y:31.892563499999994
2023-11-22 05:17:26,409 - INFO - ego_x:118.8171312,ego_y:31.892563499999994
2023-11-22 05:17:26,419 - INFO - ego_x:118.8171312,ego_y:31.892563499999994
2023-11-22 05:17:26,429 - INFO - ego_x:118.8171312,ego_y:31.892563499999994
2023-11-22 05:17:26,439 - INFO - ego_x:118.8171312,ego_y:31.892563499999994
2023-11-22 05:17:26,449 - INFO - ego_x:118.8171312,ego_y:31.892563499999994
2023-11-22 05:17:26,459 - INFO - ego_x:118.8171312,ego_y:31.892563499999994
2023-11-22 05:17:26,469 - INFO - ego_x:118.8171312,ego_y:31.892563499999994
2023-11-22 05:17:26,479 - INFO - ego_x:118.8171312,ego_y:31.892563499999994
2023-11-22 05:17:26,489 - INFO - ego_x:118.8171312,ego_y:31.892563499999994
2023-11-22 05:17:26,499 - INFO - ego_x:118.8171312,ego_y:31.892563499999994
2023-11-22 05:17:26,509 - INFO - ego_x:118.8171312,ego_y:31.892563499999994
2023-11-22 05:17:26,519 - INFO - ego_x:118.8171312,ego_y:31.892563499999994
2023-11-22 05:17:26,529 - INFO - ego_x:118.8171312,ego_y:31.892563499999994
2023-11-22 05:17:26,539 - INFO - ego_x:118.8171312,ego_y:31.892563499999994
2023-11-22 05:17:26,549 - INFO - ego_x:118.8171312,ego_y:31.892563499999994
2023-11-22 05:17:26,559 - INFO - ego_x:118.8171312,ego_y:31.892563499999994
2023-11-22 05:17:26,569 - INFO - ego_x:118.8171312,ego_y:31.892563499999994
2023-11-22 05:17:26,579 - INFO - ego_x:118.8171312,ego_y:31.892563499999994
2023-11-22 05:17:26,589 - INFO - trun angle: 234.8412537135957, filter angle: 23.48412537135957
2023-11-22 05:17:26,590 - INFO - trun angle: 234.8412537135957, filter angle: 44.61983820558318
2023-11-22 05:17:26,591 - INFO - final turn angle:44.61983820558318
2023-11-22 05:17:26,592 - INFO - trun angle: 234.8412537135957, filter angle: 63.64197975638443
2023-11-22 05:17:26,593 - INFO - trun angle: 234.8412537135957, filter angle: 80.76190715210556
2023-11-22 05:17:26,594 - INFO - ego_x:118.8171312,ego_y:31.892563499999994
2023-11-22 05:17:26,594 - INFO - trun angle: 234.8412537135957, filter angle: 96.16984180825457
2023-11-22 05:17:26,595 - INFO - trun angle: 234.8412537135957, filter angle: 110.03698299878867
2023-11-22 05:17:26,596 - INFO - trun angle: 234.8412537135957, filter angle: 122.51741007026938
2023-11-22 05:17:26,597 - INFO - trun angle: 234.8412537135957, filter angle: 133.74979443460202
2023-11-22 05:17:26,597 - INFO - final turn angle:122.51741007026938
2023-11-22 05:17:26,598 - INFO - trun angle: 234.8412537135957, filter angle: 143.8589403625014
2023-11-22 05:17:26,598 - INFO - trun angle: 234.8412537135957, filter angle: 152.95717169761082
2023-11-22 05:17:26,599 - INFO - trun angle: 234.8412537135957, filter angle: 161.14557989920928
2023-11-22 05:17:26,600 - INFO - trun angle: 234.8412537135957, filter angle: 168.51514728064794
2023-11-22 05:17:26,600 - INFO - ego_x:118.8171312,ego_y:31.892563499999994
2023-11-22 05:17:26,601 - INFO - trun angle: 234.8412537135957, filter angle: 175.14775792394272
2023-11-22 05:17:26,602 - INFO - trun angle: 234.8412537135957, filter angle: 181.11710750290803
2023-11-22 05:17:26,603 - INFO - final turn angle:181.11710750290803
2023-11-22 05:17:26,603 - INFO - trun angle: 234.8412537135957, filter angle: 186.4895221239768
2023-11-22 05:17:26,604 - INFO - trun angle: 234.8412537135957, filter angle: 191.32469528293868
2023-11-22 05:17:26,608 - INFO - trun angle: 234.8412537135957, filter angle: 195.67635112600436
2023-11-22 05:17:26,608 - INFO - final turn angle:191.32469528293868
2023-11-22 05:17:26,609 - INFO - trun angle: 234.8412537135957, filter angle: 199.5928413847635
2023-11-22 05:17:26,610 - INFO - trun angle: 234.8412537135957, filter angle: 203.11768261764672
2023-11-22 05:17:26,611 - INFO - trun angle: 234.8412537135957, filter angle: 206.29003972724163
2023-11-22 05:17:26,611 - INFO - ego_x:118.8171312,ego_y:31.892563499999994
2023-11-22 05:17:26,612 - INFO - trun angle: 234.8412537135957, filter angle: 209.14516112587702
2023-11-22 05:17:26,612 - INFO - trun angle: 234.8412537135957, filter angle: 211.71477038464886
2023-11-22 05:17:26,613 - INFO - trun angle: 234.8412537135957, filter angle: 214.02741871754353
2023-11-22 05:17:26,613 - INFO - trun angle: 234.8412537135957, filter angle: 216.1088022171487
2023-11-22 05:17:26,614 - INFO - final turn angle:216.1088022171487
2023-11-22 05:17:26,618 - INFO - trun angle: 234.8412537135957, filter angle: 217.98204736679335
2023-11-22 05:17:26,619 - INFO - trun angle: 234.8412537135957, filter angle: 219.66796800147358
2023-11-22 05:17:26,619 - INFO - final turn angle:219.66796800147358
2023-11-22 05:17:26,620 - INFO - trun angle: 234.8412537135957, filter angle: 221.1852965726858
2023-11-22 05:17:26,621 - INFO - trun angle: 234.8412537135957, filter angle: 222.55089228677676
2023-11-22 05:17:26,621 - INFO - ego_x:118.8171312,ego_y:31.892563499999994
2023-11-22 05:17:26,621 - INFO - trun angle: 234.8412537135957, filter angle: 223.77992842945864
2023-11-22 05:17:26,622 - INFO - trun angle: 234.8412537135957, filter angle: 224.8860609578723
2023-11-22 05:17:26,622 - INFO - trun angle: 234.8412537135957, filter angle: 225.88158023344462
2023-11-22 05:17:26,622 - INFO - trun angle: 234.8412537135957, filter angle: 226.77754758145971
2023-11-22 05:17:26,625 - INFO - final turn angle:226.77754758145971
2023-11-22 05:17:26,628 - INFO - trun angle: 234.8412537135957, filter angle: 227.5839181946733
2023-11-22 05:17:26,629 - INFO - trun angle: 234.8412537135957, filter angle: 228.3096517465655
2023-11-22 05:17:26,630 - INFO - trun angle: 234.8412537135957, filter angle: 228.9628119432685
2023-11-22 05:17:26,630 - INFO - trun angle: 234.8412537135957, filter angle: 229.55065612030117
2023-11-22 05:17:26,630 - INFO - ego_x:118.8171312,ego_y:31.892563499999994
2023-11-22 05:17:26,630 - INFO - final turn angle:229.55065612030117
2023-11-22 05:17:26,631 - INFO - trun angle: 234.8412537135957, filter angle: 230.0797158796306
2023-11-22 05:17:26,631 - INFO - trun angle: 234.8412537135957, filter angle: 230.55586966302707
2023-11-22 05:17:26,632 - INFO - trun angle: 234.8412537135957, filter angle: 230.98440806808395
2023-11-22 05:17:26,633 - INFO - trun angle: 234.8412537135957, filter angle: 231.37009263263508
2023-11-22 05:17:26,636 - INFO - final turn angle:231.37009263263508
2023-11-22 05:17:26,638 - INFO - trun angle: 234.8412537135957, filter angle: 231.7172087407311
2023-11-22 05:17:26,639 - INFO - trun angle: 234.8412537135957, filter angle: 232.02961323801756
2023-11-22 05:17:26,639 - INFO - trun angle: 234.8412537135957, filter angle: 232.31077728557534
2023-11-22 05:17:26,639 - INFO - trun angle: 234.8412537135957, filter angle: 232.5638249283774
2023-11-22 05:17:26,640 - INFO - ego_x:118.8171312,ego_y:31.892563499999994
2023-11-22 05:17:26,640 - INFO - trun angle: 234.8412537135957, filter angle: 232.7915678068992
2023-11-22 05:17:26,640 - INFO - trun angle: 234.8412537135957, filter angle: 232.9965363975688
2023-11-22 05:17:26,641 - INFO - trun angle: 234.8412537135957, filter angle: 233.18100812917146
2023-11-22 05:17:26,642 - INFO - final turn angle:233.18100812917146
2023-11-22 05:17:26,642 - INFO - trun angle: 234.8412537135957, filter angle: 233.34703268761388
2023-11-22 05:17:26,647 - INFO - final turn angle:233.34703268761388
2023-11-22 05:17:26,648 - INFO - trun angle: 234.8412537135957, filter angle: 233.496454790212
2023-11-22 05:17:26,648 - INFO - trun angle: 234.8412537135957, filter angle: 233.6309346825504
2023-11-22 05:17:26,649 - INFO - trun angle: 234.8412537135957, filter angle: 233.75196658565488
2023-11-22 05:17:26,649 - INFO - trun angle: 234.8412537135957, filter angle: 233.86089529844895
2023-11-22 05:17:26,649 - INFO - ego_x:118.8171312,ego_y:31.892563499999994
2023-11-22 05:17:26,650 - INFO - trun angle: 234.8412537135957, filter angle: 233.95893113996357
2023-11-22 05:17:26,651 - INFO - trun angle: 234.8412537135957, filter angle: 234.04716339732676
2023-11-22 05:17:26,651 - INFO - trun angle: 234.8412537135957, filter angle: 234.12657242895366
2023-11-22 05:17:26,652 - INFO - trun angle: 234.8412537135957, filter angle: 234.19804055741784
2023-11-22 05:17:26,653 - INFO - final turn angle:234.19804055741784
2023-11-22 05:17:26,658 - INFO - final turn angle:234.19804055741784
2023-11-22 05:17:26,658 - INFO - trun angle: 234.8412537135957, filter angle: 234.26236187303562
2023-11-22 05:17:26,659 - INFO - trun angle: 234.8412537135957, filter angle: 234.32025105709164
2023-11-22 05:17:26,659 - INFO - trun angle: 234.8412537135957, filter angle: 234.372351322742
2023-11-22 05:17:26,660 - INFO - trun angle: 234.8412537135957, filter angle: 234.41924156182736
2023-11-22 05:17:26,660 - INFO - ego_x:118.8171312,ego_y:31.892563499999994
2023-11-22 05:17:26,661 - INFO - trun angle: 234.8412537135957, filter angle: 234.46144277700418
2023-11-22 05:17:26,662 - INFO - trun angle: 234.8412537135957, filter angle: 234.4994238706633
2023-11-22 05:17:26,662 - INFO - trun angle: 234.8412537135957, filter angle: 234.53360685495653
2023-11-22 05:17:26,663 - INFO - trun angle: 234.8412537135957, filter angle: 234.56437154082045
2023-11-22 05:17:26,664 - INFO - final turn angle:234.56437154082045
2023-11-22 05:17:26,668 - INFO - trun angle: 234.8412537135957, filter angle: 234.59205975809795
2023-11-22 05:17:26,668 - INFO - trun angle: 234.8412537135957, filter angle: 234.61697915364772
2023-11-22 05:17:26,669 - INFO - trun angle: 234.8412537135957, filter angle: 234.6394066096425
2023-11-22 05:17:26,669 - INFO - final turn angle:234.61697915364772
2023-11-22 05:17:26,670 - INFO - trun angle: 234.8412537135957, filter angle: 234.6595913200378
2023-11-22 05:17:26,670 - INFO - ego_x:118.8171312,ego_y:31.892563499999994
2023-11-22 05:17:26,670 - INFO - trun angle: 234.8412537135957, filter angle: 234.6777575593936
2023-11-22 05:17:26,671 - INFO - trun angle: 234.8412537135957, filter angle: 234.69410717481378
2023-11-22 05:17:26,672 - INFO - trun angle: 234.8412537135957, filter angle: 234.70882182869195
2023-11-22 05:17:26,672 - INFO - trun angle: 234.8412537135957, filter angle: 234.72206501718227
2023-11-22 05:17:26,675 - INFO - final turn angle:234.72206501718227
2023-11-22 05:17:26,678 - INFO - trun angle: 234.8412537135957, filter angle: 234.73398388682364
2023-11-22 05:17:26,679 - INFO - trun angle: 234.8412537135957, filter angle: 234.7447108695008
2023-11-22 05:17:26,679 - INFO - trun angle: 234.8412537135957, filter angle: 234.75436515391024
2023-11-22 05:17:26,680 - INFO - trun angle: 234.8412537135957, filter angle: 234.76305400987877
2023-11-22 05:17:26,680 - INFO - final turn angle:234.75436515391024
2023-11-22 05:17:26,680 - INFO - ego_x:118.8171312,ego_y:31.892563499999994
2023-11-22 05:17:26,681 - INFO - trun angle: 234.8412537135957, filter angle: 234.77087398025043
2023-11-22 05:17:26,681 - INFO - trun angle: 234.8412537135957, filter angle: 234.77791195358492
2023-11-22 05:17:26,682 - INFO - trun angle: 234.8412537135957, filter angle: 234.78424612958597
2023-11-22 05:17:26,682 - INFO - trun angle: 234.8412537135957, filter angle: 234.78994688798693
2023-11-22 05:17:26,686 - INFO - final turn angle:234.78994688798693
2023-11-22 05:17:26,688 - INFO - trun angle: 234.8412537135957, filter angle: 234.7950775705478
2023-11-22 05:17:26,689 - INFO - trun angle: 234.8412537135957, filter angle: 234.7996951848526
2023-11-22 05:17:26,689 - INFO - trun angle: 234.8412537135957, filter angle: 234.80385103772687
2023-11-22 05:17:26,690 - INFO - trun angle: 234.8412537135957, filter angle: 234.80759130531374
2023-11-22 05:17:26,690 - INFO - ego_x:118.8171312,ego_y:31.892563499999994
2023-11-22 05:17:26,690 - INFO - trun angle: 234.8412537135957, filter angle: 234.81095754614188
2023-11-22 05:17:26,691 - INFO - trun angle: 234.8412537135957, filter angle: 234.81398716288726
2023-11-22 05:17:26,691 - INFO - final turn angle:234.81095754614188
2023-11-22 05:17:26,692 - INFO - trun angle: 234.8412537135957, filter angle: 234.8167138179581
2023-11-22 05:17:26,692 - INFO - trun angle: 234.8412537135957, filter angle: 234.8191678075218
2023-11-22 05:17:26,696 - INFO - final turn angle:234.8191678075218
2023-11-22 05:17:26,698 - INFO - trun angle: 234.8412537135957, filter angle: 234.8213763981292
2023-11-22 05:17:26,699 - INFO - trun angle: 234.8412537135957, filter angle: 234.82336412967578
2023-11-22 05:17:26,699 - INFO - trun angle: 234.8412537135957, filter angle: 234.8251530880678
2023-11-22 05:17:26,700 - INFO - trun angle: 234.8412537135957, filter angle: 234.82676315062054
2023-11-22 05:17:26,700 - INFO - ego_x:118.8171312,ego_y:31.892563499999994
2023-11-22 05:17:26,700 - INFO - trun angle: 234.8412537135957, filter angle: 234.82821220691804
2023-11-22 05:17:26,701 - INFO - trun angle: 234.8412537135957, filter angle: 234.82951635758576
2023-11-22 05:17:26,701 - INFO - trun angle: 234.8412537135957, filter angle: 234.83069009318675
2023-11-22 05:17:26,702 - INFO - trun angle: 234.8412537135957, filter angle: 234.83174645522763
2023-11-22 05:17:26,702 - INFO - final turn angle:234.83174645522763
2023-11-22 05:17:26,707 - INFO - final turn angle:234.83174645522763
2023-11-22 05:17:26,708 - INFO - trun angle: 234.8412537135957, filter angle: 234.8326971810644
2023-11-22 05:17:26,709 - INFO - trun angle: 234.8412537135957, filter angle: 234.83355283431752
2023-11-22 05:17:26,709 - INFO - trun angle: 234.8412537135957, filter angle: 234.83432292224535
2023-11-22 05:17:26,710 - INFO - trun angle: 234.8412537135957, filter angle: 234.83501600138032
2023-11-22 05:17:26,710 - INFO - ego_x:118.8171312,ego_y:31.892563499999994
2023-11-22 05:17:26,710 - INFO - trun angle: 234.8412537135957, filter angle: 234.83563977260187
2023-11-22 05:17:26,711 - INFO - trun angle: 234.8412537135957, filter angle: 234.83620116670122
2023-11-22 05:17:26,711 - INFO - trun angle: 234.8412537135957, filter angle: 234.83670642139063
2023-11-22 05:17:26,712 - INFO - trun angle: 234.8412537135957, filter angle: 234.8371611506111
2023-11-22 05:17:26,713 - INFO - final turn angle:234.8371611506111
2023-11-22 05:17:26,718 - INFO - final turn angle:234.8371611506111
2023-11-22 05:17:26,718 - INFO - trun angle: 234.8412537135957, filter angle: 234.83757040690952
2023-11-22 05:17:26,719 - INFO - trun angle: 234.8412537135957, filter angle: 234.83793873757813
2023-11-22 05:17:26,719 - INFO - trun angle: 234.8412537135957, filter angle: 234.8382702351799
2023-11-22 05:17:26,720 - INFO - trun angle: 234.8412537135957, filter angle: 234.8385685830214
2023-11-22 05:17:26,720 - INFO - ego_x:118.8171312,ego_y:31.892563499999994
2023-11-22 05:17:26,721 - INFO - trun angle: 234.8412537135957, filter angle: 234.83883709607886
2023-11-22 05:17:26,721 - INFO - trun angle: 234.8412537135957, filter angle: 234.83907875783052
2023-11-22 05:17:26,722 - INFO - trun angle: 234.8412537135957, filter angle: 234.839296253407
2023-11-22 05:17:26,722 - INFO - trun angle: 234.8412537135957, filter angle: 234.83949199942586
2023-11-22 05:17:26,724 - INFO - final turn angle:234.83949199942586
2023-11-22 05:17:26,728 - INFO - trun angle: 234.8412537135957, filter angle: 234.83966817084283
2023-11-22 05:17:26,729 - INFO - trun angle: 234.8412537135957, filter angle: 234.83982672511812
2023-11-22 05:17:26,729 - INFO - final turn angle:234.83966817084283
