Easting,Northing,Heading,Speed
671850.9627100438,3529957.2148980736,-94.23767400000003,0.0
671849.9615788783,3529957.1094003734,-93.77626200000003,3.016214733209437
671848.9610051747,3529956.970643153,-92.56780200000003,4.252930354401562
671847.9598739764,3529956.865145651,-89.89820400000002,4.170914238596739
671846.9572561767,3529956.8483405574,-86.55846000000003,4.781723128207134
671845.9535234463,3529956.8980547953,-82.18603200000001,5.358568038747473
671844.9568337143,3529957.092052674,-78.01135200000004,6.2421858787219575
671843.987590898,3529957.341958948,-73.529064,6.7354578691327855
671843.0452375553,3529957.6810332257,-67.70648400000005,6.842291704081376
671842.1297737048,3529958.1092754994,-61.07094000000001,6.636629838541885
671841.2881210153,3529958.6496515023,-54.35849400000001,6.507222064713169
671840.5015480029,3529959.290757615,-47.371398,6.483408967748115
671839.7891578067,3529960.0218243487,-40.46120400000001,6.418613834144567
671839.1702393633,3529960.820995669,-33.99045000000001,6.422041228620842
671838.625875359,3529961.6879545017,-28.354632000000038,6.465973424185885
671838.1753547125,3529962.60084482,-23.04839400000003,6.513966430301162
671837.809590379,3529963.5373350014,-18.92864400000002,6.600010426029157
671837.4905619248,3529964.507877458,-16.522710000000018,6.691195734722598
671837.1999094718,3529965.478895512,-15.380166000000031,6.7318310219258075
671836.9281743675,3529966.4502306315,-14.677062000000035,6.842987934860381
671836.6658979561,3529967.421724288,-14.578188000000011,6.859125076135267
671836.4036215877,3529968.3932179487,-14.270580000000052,6.957444172118676
671836.1600767423,3529969.3761152118,-13.479588000000035,6.9156244551112875
671835.9354492273,3529970.3593295375,-12.545778000000041,6.850445489741891
671835.6917186452,3529971.35331335,-11.732814000000019,7.1050557576057765
671835.4763640383,3529972.347772751,-10.952808000000005,6.917885068599051
671835.2801125606,3529973.331462675,-10.117872000000034,6.784066806700081
671835.0931339458,3529974.3263976676,-9.271950000000004,6.758401473133547
671834.915428187,3529975.3325777305,-8.448000000000036,6.77759762386238
671834.7660983773,3529976.3392333793,-7.689966000000027,6.83108779875616
671834.6169544007,3529977.3348024925,-7.063764000000049,6.801932019105851
671834.4865419103,3529978.3417752013,-6.5913660000000505,6.871996941493264
671834.3657738863,3529979.337819901,-6.250800000000027,6.901283378159489
671834.2448200672,3529980.3449511393,-6.042066000000034,6.871321613658713
671834.1240520752,3529981.340995843,-5.844318000000044,6.807653018196102
