cx,cy,cyaw,ck
671848.2100024386,3529970.1658329694,3.136240793023012,-0.05494480377443621
671847.2070142903,3529970.1712008733,3.081103083058056,-0.05494480377443621
671846.203097034,3529970.2320015715,3.0482235318699678,-0.03268546623624815
671845.1986223238,3529970.326061985,3.014240188981859,-0.03367810864509817
671844.2030488247,3529970.4535406474,2.958203588173655,-0.055800712842757005
671843.2160048981,3529970.636610636,2.8917416511533385,-0.06615648704512579
671842.2373047426,3529970.8863584884,2.8233256795071804,-0.06768150803758528
671841.2764070232,3529971.202942733,2.765509677890197,-0.05711517887060788
671840.3334975686,3529971.5752768232,2.675918668793925,-0.08825672492252719
671839.4365806959,3529972.02600943,2.599663433046325,-0.07589276138108036
671838.5763835899,3529972.54389547,2.5094820803709355,-0.0896946253295368
671837.762179084,3529973.1401800024,2.4164145196783315,-0.09208609403644336
671837.013070293,3529973.804093537,2.3152662633565533,-0.10087780622908787
671836.3288713988,3529974.546722599,2.208153839775064,-0.10587382858400717
671835.7286854975,3529975.357297691,2.1155117301040485,-0.09172169989299006
671835.2032397485,3529976.2245737338,2.020803629476664,-0.09325798209585633
671834.7621785927,3529977.137622708,1.9431457441915685,-0.07650882850123293
671834.396414996,3529978.0741129923,1.8795128851165874,-0.06324938767701711
671834.0868458514,3529979.0448140693,1.8344818771296543,-0.044182126798385214
671833.8245699431,3529980.0163077894,1.8136865091733552,-0.02066420820038831
671833.5810255382,3529980.9992051083,1.7769784006208982,-0.03624245404083926
671833.3753157135,3529981.9827365377,1.7456076255731092,-0.03121536790928895
671833.1976101996,3529982.9889166276,1.7364513450564303,-0.008961225914925566
671833.0293633477,3529983.9952552463,1.7194980359221448,-0.016615109926587227
671832.8802195925,3529984.990824385,1.7088370418199172,-0.010590065520898162
671832.7403486847,3529985.997638589,1.6903210611592216,-0.01821468092576576
671832.6193950519,3529987.0047698445,1.6726649398234807,-0.017405121145422225
671832.5175445076,3529988.001131618,1.6624178988429776,-0.010230963238449508
671832.4249667915,3529989.0087384586,1.6530886619642022,-0.00921983846357618
671832.3418477132,3529990.016503825,1.6437479878272383,-0.009237198729166635
671832.2681872721,3529991.0244277213,1.6338890649465638,-0.009755241382903361
671832.2037996533,3529992.043596681,1.6250387997104156,-0.008666414523128645
671832.1490564712,3529993.051837629,1.6246317337915088,-0.00040314491422613704
671832.0941274847,3529994.071165118,1.6060995867433665,-0.018153379659098395
671832.0581157464,3529995.090809662,1.6156735306344578,0.0093834977106651
671832.0128311929,3529996.0992091387,1.6063033271566785,-0.00928266294622926
671831.9770052664,3529997.107767145,1.6153680477322332,0.008982014813495226
671831.9315349049,3529998.1272531664,1.6156735251069938,0.00029934101827517245
671831.8862503568,3529999.1356526483,1.6156735237568647,-1.3375350447239004e-09
671831.84096581,3530000.144052132,1.615368043963411,-0.00030263028965976505
671831.7954954522,3530001.163538156,1.6250387773518307,0.009476322419972517
671831.7407522921,3530002.171779115,1.6063033274873861,-0.018553898132103605
671831.7049263649,3530003.1803371287,1.6156735185957363,0.009284689479727114
671831.6596418231,3530004.188736617,1.6153680390142906,-0.0003026300783020666
671831.6141714703,3530005.208222645,1.6246317081719275,0.009077453040145319
671831.5592425091,3530006.227550151,1.6153680332877574,-0.00907472971626798
671831.5137721619,3530007.247036182,1.6156735149323806,0.0002993451996874615
671831.4684876236,3530008.255435675,1.6153680306585703,-0.0003026347255486726
671831.423017279,3530009.2749217087,1.6063033249858047,-0.008882494422050753
671831.3871913541,3530010.283479731,1.615673509602913,0.009284682967280357
671831.341906821,3530011.2918792274,1.6156735083473015,-1.243899037360946e-09
671831.2966222891,3530012.300278726,1.6246316953911104,0.008874506735433982
671831.2416933406,3530013.319606239,1.6726647419733143,0.047035928844450334
671831.1398429922,3530014.3159680455,1.7380805311917482,0.06526772068740615
671830.9717824303,3530015.3112201723,1.8555309209519177,0.11609598434927848
671830.6907760872,3530016.2713103783,2.0640068366227253,0.2068927513159564
671830.2122539985,3530017.161552324,2.279602537490339,0.21166460449915905
671829.556062461,3530017.92683039,2.5037723138793235,0.22051386188265715
671828.7513205219,3530018.5232740208,2.7239477431140897,0.2180354167948824
671827.8362341889,3530018.929344268,2.958201338149663,0.23185332711719342
671826.8491952443,3530019.11241563,-3.10292956740189,0.21938437061214727
671825.8374966322,3530019.0732807373,-2.86884345179525,0.22910061858872524
671824.8675342919,3530018.8019627025,-2.642399998299278,0.22290951465559933
671823.9862295594,3530018.321427192,-2.39745422898873,0.2415859311536137
671823.2501481952,3530017.643711835,-2.18222447290945,0.2134530415084798
671822.668005581,3530016.813321278,-2.0088532874467377,0.17010220064507658
671822.238686919,3530015.8967747283,-1.8459958708146205,0.16019804327152543
671821.9618206361,3530014.9162452444,-1.7249057775422216,0.11855739059003907
671821.8081019574,3530013.926689955,-1.62890186422796,0.09572024578774516
671821.7493408988,3530012.9165467643,-1.6003731388923845,0.028190771236425598
671821.7191414378,3530011.8957925877,-1.5818521751552526,0.018135419294125963
671821.7078591798,3530010.8753554476,-1.5540388750384757,0.027251080541423722
671821.7247669374,3530009.8664803994,-1.5446637518892983,0.009291209607323906
671821.7511333,3530008.857763867,-1.5259200867151832,0.018574265095441588
671821.7964168804,3530007.849364372,-1.5259200855630504,1.141385996513968e-09
