2025-03-28 16:42:38,242 - INFO - Created a socket
2025-03-28 16:42:38,243 - INFO - Created a socket
2025-03-28 16:42:38,254 - INFO - ego_x:671842.5012721384,ego_y:3529969.249514077
2025-03-28 16:42:38,260 - INFO - ego_x:671842.5012721384,ego_y:3529969.249514077
2025-03-28 16:42:38,270 - INFO - ego_x:671842.5012721384,ego_y:3529969.249514077
2025-03-28 16:42:38,281 - INFO - ego_x:671842.5012721384,ego_y:3529969.249514077
2025-03-28 16:42:38,295 - INFO - ego_x:671842.5012721384,ego_y:3529969.249514077
2025-03-28 16:42:38,300 - INFO - ego_x:671842.5012721384,ego_y:3529969.249514077
2025-03-28 16:42:38,310 - INFO - ego_x:671842.5012721384,ego_y:3529969.249514077
2025-03-28 16:42:38,320 - INFO - ego_x:671842.5012721384,ego_y:3529969.249514077
2025-03-28 16:42:38,330 - INFO - ego_x:671842.5012721384,ego_y:3529969.249514077
2025-03-28 16:42:38,341 - INFO - ego_x:671842.5012721384,ego_y:3529969.249514077
2025-03-28 16:42:38,350 - INFO - ego_x:671842.5012721384,ego_y:3529969.249514077
2025-03-28 16:42:38,361 - INFO - ego_x:671842.5012721384,ego_y:3529969.249514077
2025-03-28 16:42:38,370 - INFO - ego_x:671842.5012721384,ego_y:3529969.249514077
2025-03-28 16:42:38,380 - INFO - ego_x:671842.5012721384,ego_y:3529969.249514077
2025-03-28 16:42:38,390 - INFO - ego_x:671842.5012721384,ego_y:3529969.249514077
2025-03-28 16:42:38,400 - INFO - ego_x:671842.5012721384,ego_y:3529969.249514077
2025-03-28 16:42:38,411 - INFO - ego_x:671842.5012721384,ego_y:3529969.249514077
2025-03-28 16:42:38,421 - INFO - ego_x:671842.5012721384,ego_y:3529969.249514077
2025-03-28 16:42:38,430 - INFO - ego_x:671842.5012721384,ego_y:3529969.249514077
2025-03-28 16:42:38,440 - INFO - ego_x:671842.5012721384,ego_y:3529969.249514077
2025-03-28 16:42:38,450 - INFO - ego_x:671842.5012721384,ego_y:3529969.249514077
2025-03-28 16:42:38,460 - INFO - ego_x:671842.5012721384,ego_y:3529969.249514077
2025-03-28 16:42:38,470 - INFO - ego_x:671842.5012721384,ego_y:3529969.249514077
2025-03-28 16:42:38,480 - INFO - ego_x:671842.5012721384,ego_y:3529969.249514077
2025-03-28 16:42:38,490 - INFO - ego_x:671842.5012721384,ego_y:3529969.249514077
2025-03-28 16:42:38,500 - INFO - ego_x:671842.5012721384,ego_y:3529969.249514077
2025-03-28 16:42:38,510 - INFO - ego_x:671842.5012721384,ego_y:3529969.249514077
2025-03-28 16:42:38,520 - INFO - ego_x:671842.5012721384,ego_y:3529969.249514077
2025-03-28 16:42:38,531 - INFO - ego_x:671842.5012721384,ego_y:3529969.249514077
2025-03-28 16:42:38,540 - INFO - ego_x:671842.5012721384,ego_y:3529969.249514077
2025-03-28 16:42:38,551 - INFO - ego_x:671842.5012721384,ego_y:3529969.249514077
2025-03-28 16:42:38,560 - INFO - ego_x:671842.5012721384,ego_y:3529969.249514077
2025-03-28 16:42:38,571 - INFO - ego_x:671842.5012721384,ego_y:3529969.249514077
2025-03-28 16:42:38,580 - INFO - ego_x:671842.5012721384,ego_y:3529969.249514077
2025-03-28 16:42:38,590 - INFO - ego_x:671842.5012721384,ego_y:3529969.249514077
2025-03-28 16:42:38,600 - INFO - ego_x:671842.5012721384,ego_y:3529969.249514077
2025-03-28 16:42:38,610 - INFO - ego_x:671842.5012721384,ego_y:3529969.249514077
2025-03-28 16:42:38,620 - INFO - ego_x:671842.5012721384,ego_y:3529969.249514077
2025-03-28 16:42:38,630 - INFO - ego_x:671842.5012721384,ego_y:3529969.249514077
2025-03-28 16:42:38,640 - INFO - ego_x:671842.5012721384,ego_y:3529969.249514077
2025-03-28 16:42:38,650 - INFO - ego_x:671842.5012721384,ego_y:3529969.249514077
2025-03-28 16:42:38,661 - INFO - ego_x:671842.5012721384,ego_y:3529969.249514077
2025-03-28 16:42:38,670 - INFO - ego_x:671842.5012721384,ego_y:3529969.249514077
2025-03-28 16:42:38,681 - INFO - ego_x:671842.5012721384,ego_y:3529969.249514077
2025-03-28 16:42:38,695 - INFO - ego_x:671842.5012721384,ego_y:3529969.249514077
2025-03-28 16:42:38,700 - INFO - ego_x:671842.5012721384,ego_y:3529969.249514077
2025-03-28 16:42:38,710 - INFO - ego_x:671842.5012721384,ego_y:3529969.249514077
2025-03-28 16:42:38,720 - INFO - ego_x:671842.5012721384,ego_y:3529969.249514077
2025-03-28 16:42:38,730 - INFO - ego_x:671842.5012721384,ego_y:3529969.249514077
2025-03-28 16:42:38,740 - INFO - ego_x:671842.5012721384,ego_y:3529969.249514077
2025-03-28 16:42:38,750 - INFO - ego_x:671842.5012721384,ego_y:3529969.249514077
2025-03-28 16:42:38,760 - INFO - ego_x:671842.5012721384,ego_y:3529969.249514077
2025-03-28 16:42:38,770 - INFO - ego_x:671842.5012721384,ego_y:3529969.249514077
2025-03-28 16:42:38,780 - INFO - ego_x:671842.5012721384,ego_y:3529969.249514077
2025-03-28 16:42:38,790 - INFO - ego_x:671842.5012721384,ego_y:3529969.249514077
2025-03-28 16:42:38,800 - INFO - ego_x:671842.5012721384,ego_y:3529969.249514077
2025-03-28 16:42:38,811 - INFO - ego_x:671842.5012721384,ego_y:3529969.249514077
2025-03-28 16:42:38,821 - INFO - ego_x:671842.5012721384,ego_y:3529969.249514077
2025-03-28 16:42:38,831 - INFO - ego_x:671842.5012721384,ego_y:3529969.249514077
2025-03-28 16:42:38,840 - INFO - ego_x:671842.5012721384,ego_y:3529969.249514077
2025-03-28 16:42:38,850 - INFO - ego_x:671842.5012721384,ego_y:3529969.249514077
2025-03-28 16:42:38,860 - INFO - ego_x:671842.5012721384,ego_y:3529969.249514077
2025-03-28 16:42:38,871 - INFO - ego_x:671842.5012721384,ego_y:3529969.249514077
2025-03-28 16:42:38,881 - INFO - ego_x:671842.5012721384,ego_y:3529969.249514077
2025-03-28 16:42:38,895 - INFO - ego_x:671842.5012721384,ego_y:3529969.249514077
2025-03-28 16:42:38,900 - INFO - ego_x:671842.5012721384,ego_y:3529969.249514077
2025-03-28 16:42:38,911 - INFO - ego_x:671842.5012721384,ego_y:3529969.249514077
2025-03-28 16:42:38,920 - INFO - ego_x:671842.5012721384,ego_y:3529969.249514077
2025-03-28 16:42:38,930 - INFO - ego_x:671842.5012721384,ego_y:3529969.249514077
2025-03-28 16:42:38,940 - INFO - ego_x:671842.5012721384,ego_y:3529969.249514077
2025-03-28 16:42:38,951 - INFO - ego_x:671842.5012721384,ego_y:3529969.249514077
2025-03-28 16:42:38,961 - INFO - ego_x:671842.5012721384,ego_y:3529969.249514077
2025-03-28 16:42:38,970 - INFO - ego_x:671842.5012721384,ego_y:3529969.249514077
2025-03-28 16:42:38,981 - INFO - ego_x:671842.5012721384,ego_y:3529969.249514077
2025-03-28 16:42:38,991 - INFO - ego_x:671842.5012721384,ego_y:3529969.249514077
2025-03-28 16:42:39,001 - INFO - ego_x:671842.5012721384,ego_y:3529969.249514077
2025-03-28 16:42:39,010 - INFO - ego_x:671842.5012721384,ego_y:3529969.249514077
2025-03-28 16:42:39,020 - INFO - ego_x:671842.5012721384,ego_y:3529969.249514077
2025-03-28 16:42:39,031 - INFO - ego_x:671842.5012721384,ego_y:3529969.249514077
2025-03-28 16:42:39,041 - INFO - ego_x:671842.5012721384,ego_y:3529969.249514077
2025-03-28 16:42:39,050 - INFO - ego_x:671842.5012721384,ego_y:3529969.249514077
2025-03-28 16:42:39,060 - INFO - ego_x:671842.5012721384,ego_y:3529969.249514077
